Gene_A	Gene_B	Edge_Multiplexity	Active_Omics
NKX3-1	PARP1	2	CNA,MUT
ASXL1	DNMT3B	2	CNA,MUT
LATS2	FLT1	2	CNA,MUT
NCOA3	AURKA	2	CNA,MUT
LATS2	PAX5	2	CNA,MUT
LATS2	KDM5A	2	CNA,MUT
ELF3	ERCC5	2	CNA,MUT
ASXL1	ARID5B	2	CNA,MUT
RECQL	CARD11	2	CNA,MUT
FGFR1	RAD52	2	CNA,MUT
FLT3	MYC	2	CNA,MUT
LATS2	IRS2	2	CNA,MUT
KDM6A	RBM10	2	CNA,MUT
AGO2	BRCA2	2	CNA,MUT
BRCA2	FLT1	2	CNA,MUT
AKT2	KMT2B	2	CNA,MUT
IRS2	ELF3	2	CNA,MUT
FLT1	IRS2	2	CNA,MUT
PAK7	TOP1	2	CNA,MUT
PAK7	AURKA	2	CNA,MUT
LATS2	RB1	2	CNA,MUT
DIS3	BCOR	2	CNA,MUT
FLT1	CCND2	2	CNA,MUT
BRCA2	FGFR1	2	CNA,MUT
PIK3R1	ERCC4	2	CNA,MUT
DIS3	NCOA3	2	CNA,MUT
FLT3	IRS2	2	CNA,MUT
ASXL1	MYC	2	CNA,MUT
IRS2	ERCC5	2	CNA,MUT
KLF4	TSC2	2	CNA,MUT
MSH3	CYLD	2	CNA,MUT
FGFR1	CYLD	2	CNA,MUT
FLT1	FOXO1	2	CNA,MUT
POLE	BRCA2	2	CNA,MUT
HLA-B	AKT2	2	CNA,MUT
FGFR1	CCND2	2	CNA,MUT
TOP1	AURKA	2	CNA,MUT
NOTCH1	TSC1	2	CNA,MUT
FLT3	MALT1	2	CNA,MUT
DDR2	NTRK1	2	CNA,MUT
DIS3	KDM5A	2	CNA,MUT
FGFR1	PMS2	2	CNA,MUT
DNMT3B	WHSC1L1	2	CNA,MUT
POLE	VEGFA	2	CNA,MUT
BRCA2	DIS3	2	CNA,MUT
PTEN	CCND2	2	CNA,MUT
KDM5A	IRS2	2	CNA,MUT
PTPRS	SMARCA4	2	CNA,MUT
AGO2	PTPRT	2	CNA,MUT
CDK8	RB1	2	CNA,MUT
FGFR1	KDM5A	2	CNA,MUT
INHBA	AKT2	2	CNA,MUT
FGFR1	NKX3-1	2	CNA,MUT
NKX3-1	PAK7	2	CNA,MUT
DNMT3B	AURKA	2	CNA,MUT
DIS3	IRS2	2	CNA,MUT
FLT1	MAPK3	2	CNA,MUT
FLT1	MALT1	2	CNA,MUT
ASXL1	WHSC1L1	2	CNA,MUT
PIK3R1	NEGR1	2	CNA,MUT
FLT3	ELF3	2	CNA,MUT
PTEN	MSH3	2	CNA,MUT
EGFR	NKX3-1	2	CNA,MUT
NF1	ERBB2	2	CNA,MUT
AGO2	FGFR1	2	CNA,MUT
LATS2	MALT1	2	CNA,MUT
DIS3	FLT1	2	CNA,MUT
ERCC4	WHSC1L1	2	CNA,MUT
CDK8	IRS2	2	CNA,MUT
LATS2	NCOR1	2	CNA,MUT
DOT1L	SMARCA4	2	CNA,MUT
MSH3	MAPK3	2	CNA,MUT
FLT1	RB1	2	CNA,MUT
LATS2	PARP1	2	CNA,MUT
DNMT3B	TOP1	2	CNA,MUT
MALT1	RASA1	2	CNA,MUT
TERT	SMAD4	2	CNA,MUT
PTEN	RECQL	2	CNA,MUT
PIK3C2G	CCND2	2	CNA,MUT
ARAF	EIF1AX	2	CNA,MUT
MYC	INSR	2	CNA,MUT
EGFR	DDR2	2	CNA,MUT
BRCA2	IKZF1	2	CNA,MUT
TGFBR2	ALOX12B	2	CNA,MUT
DIS3	NKX3-1	2	CNA,MUT
PMS1	CSF1R	2	CNA,MUT
DOT1L	FLCN	2	CNA,MUT
DNMT3B	ARID5B	2	CNA,MUT
TEK	NF1	2	MUT,SV
NEGR1	WHSC1L1	2	CNA,MUT
