Hugo_Symbol	Entrez_Gene_Id
MTOR	2475
KRAS	3845
KMT2D	8085
GNAS	2778
EPHB1	2047
FBXW7	55294
APC	324
APC	324
HIST1H3J	8356
CDKN2A	1029
TEK	7010
ALOX12B	242
KRAS	3845
KLF5	688
TP53	7157
APC	324
SYK	6850
EPHA7	2045
PIK3CA	5290
TCF7L2	6934
APC	324
UPF1	5976
KRAS	3845
TBX3	6926
KRAS	3845
TP53	7157
TGFBR2	7048
PBRM1	55193
APC	324
APC	324
IKZF1	10320
AMER1	139285
SETDB1	9869
SETD2	29072
TET2	54790
TP53	7157
APC	324
AR	367
APC	324
PIK3CA	5290
SOX2	6657
TP63	8626
EP300	2033
CSDE1	7812
KRAS	3845
DNMT1	1786
CIC	23152
APC	324
PIK3C2G	5288
TP53	7157
APC	324
APC	324
KDR	3791
KRAS	3845
TSHR	7253
MAP3K13	9175
KRAS	3845
TP53	7157
DOT1L	84444
ALB	213
APC	324
APC	324
BCOR	54880
AKT3	10000
KMT2D	8085
NOTCH4	4855
TP53	7157
SMAD4	4089
APC	324
TP53	7157
PIK3CA	5290
ARID1A	8289
PIK3R2	5296
KRAS	3845
PTPRT	11122
AMER1	139285
BRCA2	675
KRAS	3845
TP53	7157
APC	324
APC	324
KRAS	3845
TP53	7157
FBXW7	55294
APC	324
STAT3	6774
KRAS	3845
AKT2	208
ESR1	2099
BRCA1	672
H3F3C	440093
APC	324
APC	324
CTLA4	1493
FGFR2	2263
TSHR	7253
FLT4	2324
KRAS	3845
RTEL1-TNFRSF6B	100533107
ELF3	1999
SOX9	6662
TP53	7157
PIK3CD	5293
APC	324
TCF7L2	6934
KRAS	3845
FAT1	2195
PAX5	5079
TCF7L2	6934
SMAD4	4089
PIK3CA	5290
PTPRT	11122
SOX17	64321
MAP3K1	4214
SRSF2	6427
APC	324
KRAS	3845
ERCC4	2072
PGBD5	79605
IGF1R	3480
APC	324
CDH1	999
KRAS	3845
PHOX2B	8929
APC	324
APC	324
IKZF1	10320
NF1	4763
E2F3	1871
AR	367
PIK3CA	5290
APC	324
AMER1	139285
MDC1	9656
BCL2L11	10018
APC	324
KRAS	3845
PRDM1	639
SOX9	6662
EPHA3	2042
TP53	7157
CALR	811
PRDM1	639
MYOD1	4654
ERBB4	2066
APC	324
KRAS	3845
RPTOR	57521
MRE11A	0
ARID1A	8289
RET	5979
CBL	867
KRAS	3845
KLF5	688
TP53	7157
SMAD4	4089
APC	324
PARP1	142
NCOR1	9611
SOX9	6662
SMAD4	4089
TP53	7157
BRAF	673
PDGFRB	5159
BMPR1A	657
DNMT3A	1788
KRAS	3845
KMT2D	8085
TP53	7157
APC	324
CARD11	84433
APC	324
KRAS	3845
GNA11	2767
PIK3CA	5290
PIK3CA	5290
SMAD4	4089
CDKN2C	1031
APC	324
PRKD1	5587
APC	324
PRKD1	5587
KRAS	3845
ETV6	2120
ROS1	6098
IDH1	3417
APC	324
PLCG2	5336
TP53	7157
KRAS	3845
TERT	7015
BCOR	54880
ERBB3	2065
TGFBR1	7046
APC	324
PIK3CA	5290
TP53	7157
APC	324
TP63	8626
KRAS	3845
H3F3C	440093
PIK3R3	8503
MSH6	2956
APC	324
KMT2D	8085
DNMT1	1786
TP53	7157
APC	324
NTRK1	4914
APC	324
AMER1	139285
GRIN2A	2903
SPRED1	161742
KRAS	3845
PIK3CG	5294
PAK7	0
PTEN	5728
ROS1	6098
KRAS	3845
SLX4	84464
TP53	7157
EPHA3	2042
APC	324
APC	324
CARD11	84433
DNMT1	1786
KRAS	3845
EPHA7	2045
PIK3CA	5290
IGF1R	3480
SMAD4	4089
KRAS	3845
KLF4	9314
B2M	567
SMAD4	4089
KRAS	3845
TP53	7157
NOTCH2	4853
KRAS	3845
TP53	7157
HGF	3082
KRAS	3845
TP53	7157
ARID1A	8289
TCF7L2	6934
APC	324
SPEN	23013
CDK4	1019
RAD51D	5892
BRIP1	83990
NOTCH3	4854
FOXP1	27086
PIK3CA	5290
APC	324
RBM10	8241
APC	324
KRAS	3845
PIK3CA	5290
TP53	7157
APC	324
TGFBR2	7048
SPEN	23013
CDK8	1024
PTPRS	5802
FBXW7	55294
KRAS	3845
PIK3CA	5290
TP53	7157
APC	324
APC	324
NF1	4763
IKZF1	10320
KMT2B	9757
ATRX	546
KRAS	3845
PIK3CA	5290
APC	324
KMT2D	8085
BCL10	8915
TCF7L2	6934
CDKN1B	1027
PLCG2	5336
PAK7	0
NF2	4771
EPHA7	2045
KRAS	3845
PIK3CG	5294
TP53	7157
NTRK1	4914
NOTCH3	4854
KRAS	3845
PIK3CA	5290
APC	324
SMAD2	4087
PDGFRA	5156
KRAS	3845
FBXW7	55294
AMER1	139285
ERBB3	2065
TP53	7157
SMAD2	4087
AKT1	207
KRAS	3845
FBXW7	55294
NOTCH4	4855
RBM10	8241
CTNNB1	1499
KRAS	3845
TP53	7157
RET	5979
IGF1R	3480
AXIN2	8313
ALK	238
PREX2	80243
TP53	7157
KRAS	3845
TBX3	6926
KRAS	3845
PIK3CA	5290
TP53	7157
APC	324
APC	324
EPHB1	2047
RAB35	11021
NTRK3	4916
ESR1	2099
JAK2	3717
ABL1	25
NEGR1	257194
KRAS	3845
TP53	7157
TP53	7157
SMAD4	4089
APC	324
AR	367
TCF7L2	6934
KRAS	3845
GRIN2A	2903
TP53	7157
PIK3CA	5290
FAT1	2195
APC	324
RECQL4	9401
NTRK3	4916
TEK	7010
PHF6	84295
PIK3CA	5290
APC	324
BCOR	54880
APC	324
FBXW7	55294
KRAS	3845
SOX9	6662
SOX9	6662
KRAS	3845
NCOR1	9611
TP53	7157
KEAP1	9817
APC	324
DICER1	23405
RNF43	54894
KRAS	3845
PTPRS	5802
PIK3CA	5290
APC	324
APC	324
TGFBR1	7046
TGFBR1	7046
TP53	7157
APC	324
SOX9	6662
INPPL1	3636
KRAS	3845
BRIP1	83990
GAB2	9846
APC	324
STAG2	10735
TOP1	7150
TP53	7157
APC	324
KRAS	3845
SF3B1	23451
FBXW7	55294
APC	324
KRAS	3845
TCF7L2	6934
GAB2	9846
APC	324
KDM5A	5927
TP53	7157
KRAS	3845
PDGFRA	5156
APC	324
APC	324
IKBKE	9641
TP53	7157
SMAD2	4087
KRAS	3845
SOS1	6654
TP53	7157
CTCF	10664
KRAS	3845
PTPRT	11122
FAM46C	0
ARID1A	8289
ELF3	1999
TP53	7157
APC	324
APC	324
ALK	238
ASXL1	171023
KRAS	3845
EED	8726
AXIN2	8313
TP53	7157
PIK3CA	5290
APC	324
APC	324
SMAD2	4087
TCF3	6929
KRAS	3845
TSC2	7249
ACVR1	90
BRCA2	675
PIK3CA	5290
ALK	238
TGFBR1	7046
PLCG2	5336
KRAS	3845
TGFBR1	7046
MST1R	4486
CTNNB1	1499
PIK3CA	5290
PIK3CA	5290
APC	324
PLCG2	5336
ATM	472
KRAS	3845
FAT1	2195
SHQ1	55164
KDR	3791
APC	324
APC	324
KRAS	3845
RNF43	54894
APC	324
HGF	3082
TP53	7157
KRAS	3845
TP53	7157
APC	324
GRIN2A	2903
EPHA7	2045
ARID1B	57492
KRAS	3845
ELF3	1999
ATXN7	6314
FAT1	2195
IL7R	3575
JAK2	3717
ATRX	546
TP53	7157
APC	324
APC	324
TCF7L2	6934
SMAD4	4089
KRAS	3845
TP53	7157
APC	324
FBXW7	55294
TP53	7157
PAX5	5079
TET1	80312
MAP2K4	6416
CTNNB1	1499
EP300	2033
KRAS	3845
KRAS	3845
PIK3CD	5293
IRS2	8660
PRKD1	5587
DNMT3B	1789
APC	324
LYN	4067
TP53	7157
APC	324
BRD4	23476
KRAS	3845
APC	324
ABL1	25
PIK3CA	5290
APC	324
JUN	3725
KRAS	3845
APC	324
RAD21	5885
PIK3CA	5290
APC	324
APC	324
TCF7L2	6934
DNMT3B	1789
GSK3B	2932
KRAS	3845
MALT1	10892
EPHA3	2042
PIK3CA	5290
APC	324
ETV6	2120
ALOX12B	242
KDR	3791
KRAS	3845
JUN	3725
SMAD2	4087
APC	324
BAP1	8314
RASA1	5921
IGF1R	3480
SMAD3	4088
EPHA5	2044
NOTCH3	4854
ANKRD11	29123
KRAS	3845
ERBB3	2065
PDCD1	5133
PIK3CA	5290
PRDM1	639
TP53	7157
APC	324
APC	324
KMT2D	8085
KRAS	3845
APC	324
APC	324
TP53	7157
APC	324
KRAS	3845
IRS2	8660
XIAP	331
MGA	23269
PIK3CA	5290
FBXW7	55294
PBRM1	55193
TP53	7157
APC	324
MTOR	2475
FAT1	2195
APC	324
KRAS	3845
POLE	5426
BRCA2	675
BRCA2	675
NFKBIA	4792
BRD4	23476
GAB1	2549
PIK3R1	5295
KRAS	3845
SMAD3	4088
SMAD2	4087
TCF3	6929
EP300	2033
PIK3CA	5290
PIK3CA	5290
RECQL4	9401
TGFBR1	7046
KDM6A	7403
RBM10	8241
GAB2	9846
CDKN1B	1027
AKT2	208
APC	324
APC	324
AMER1	139285
SMAD4	4089
KRAS	3845
TP53	7157
PMS1	5378
PMS2	5395
PIK3CA	5290
CSF1R	1436
SOX9	6662
ASXL2	55252
ERBB4	2066
SRC	6714
KRAS	3845
ESR1	2099
MITF	4286
APC	324
SOX9	6662
AMER1	139285
FBXW7	55294
APC	324
TP53	7157
SMAD4	4089
TP53BP1	7158
TP53BP1	7158
KRAS	3845
ALB	213
APC	324
ERCC4	2072
MSH3	4437
FBXW7	55294
TP53	7157
APC	324
KRAS	3845
APC	324
CARD11	84433
TP53	7157
TCF7L2	6934
KRAS	3845
SERPINB3	6317
APC	324
TCF7L2	6934
KRAS	3845
SMAD4	4089
PIK3CA	5290
APC	324
APC	324
NOTCH4	4855
PRDM14	63978
AMER1	139285
TCF7L2	6934
HLA-C	3107
SMAD4	4089
TP53	7157
APC	324
APC	324
KRAS	3845
SPEN	23013
TP53	7157
APC	324
FBXW7	55294
PIK3CA	5290
KRAS	3845
APC	324
APC	324
EPHA5	2044
TP53	7157
NTRK1	4914
ERBB4	2066
AGO2	27161
KRAS	3845
WHSC1	0
APC	324
TP53	7157
APC	324
KRAS	3845
MLLT1	4298
AXIN2	8313
TP53	7157
APC	324
PRKD1	5587
KRAS	3845
RXRA	6256
MEN1	4221
SOX9	6662
NBN	4683
SMO	6608
APC	324
KRAS	3845
SMAD4	4089
PIK3CA	5290
APC	324
MET	4233
PIK3CA	5290
APC	324
CTNNB1	1499
TET2	54790
SMAD4	4089
KRAS	3845
FLT1	2321
KRAS	3845
APC	324
APC	324
TP53	7157
KRAS	3845
KMT2C	58508
INPP4B	8821
KRAS	3845
CTNNB1	1499
PIK3CA	5290
APC	324
APC	324
APC	324
SMAD4	4089
PIK3CA	5290
APC	324
APC	324
SMAD4	4089
NF2	4771
REL	5966
MDM2	4193
KRAS	3845
GATA2	2624
WHSC1L1	0
TP53	7157
CDKN1B	1027
KRAS	3845
SMARCA4	6597
KDR	3791
ERBB4	2066
ERG	2078
DOT1L	84444
PREX2	80243
APC	324
PIK3CA	5290
RBM10	8241
STAG2	10735
KRAS	3845
TP53	7157
IDH1	3417
GNAS	2778
ERBB2	2064
RBM10	8241
KRAS	3845
DROSHA	29102
ALK	238
MAX	4149
TP53	7157
PARP1	142
RET	5979
LATS2	26524
KRAS	3845
APC	324
CYSLTR2	57105
TP53	7157
APC	324
KRAS	3845
ATM	472
KRAS	3845
ANKRD11	29123
PTPRS	5802
PTPRT	11122
APC	324
AXIN2	8313
DNMT3A	1788
APC	324
PIK3CA	5290
APC	324
KRAS	3845
KDM5A	5927
KRAS	3845
TP53	7157
RTEL1-TNFRSF6B	100533107
APC	324
PIK3CA	5290
TP53	7157
APC	324
MCL1	4170
KRAS	3845
ERG	2078
MDC1	9656
TP53	7157
FBXW7	55294
CTNNB1	1499
KRAS	3845
APC	324
APC	324
FBXW7	55294
APC	324
ATM	472
APC	324
FGF3	2248
TP53BP1	7158
TBX3	6926
ERF	2077
TCF3	6929
ATM	472
KRAS	3845
GATA3	2625
APC	324
RICTOR	253260
APC	324
PTPRD	5789
KRAS	3845
DIS3	22894
TP53	7157
RAD54L	8438
EP300	2033
RASA1	5921
APC	324
APC	324
TP53	7157
SOS1	6654
KRAS	3845
APC	324
APC	324
APC	324
KRAS	3845
PIK3CA	5290
APC	324
KRAS	3845
TP53	7157
SETD2	29072
SPEN	23013
APC	324
KRAS	3845
SPOP	8405
ARID1B	57492
SMAD4	4089
CTNNB1	1499
SMARCA2	6595
TP53	7157
APC	324
KRAS	3845
PDGFRA	5156
TP53	7157
APC	324
PTEN	5728
APC	324
APC	324
KRAS	3845
WWTR1	25937
PTPRD	5789
EP300	2033
APC	324
TP53	7157
AGO2	27161
FGFR1	2260
KRAS	3845
APC	324
TP53	7157
SETD2	29072
KRAS	3845
ERBB4	2066
MGA	23269
RET	5979
NTRK1	4914
KRAS	3845
RB1	5925
TP53	7157
KMT2B	9757
CHEK2	11200
IKZF1	10320
KIT	3815
APC	324
CARD11	84433
TP53	7157
SOX9	6662
APC	324
APC	324
FLT4	2324
KRAS	3845
