Gene_A	Gene_B	Edge_Multiplexity	Active_Omics
RB1	KDM5A	2	CNA,MUT
SOX17	ERCC5	2	CNA,MUT
FGFR1	PRDM14	2	CNA,MUT
ASXL1	DNMT3B	2	CNA,MUT
RARA	ERBB2	2	CNA,MUT
WHSC1	WHSC1L1	2	CNA,MUT
SMAD2	FYN	2	CNA,MUT
FAT1	ROS1	2	CNA,MUT
ALOX12B	FLCN	2	CNA,MUT
MYC	FYN	2	CNA,MUT
AURKA	ALOX12B	2	CNA,MUT
EGFR	IKZF1	2	CNA,MUT
NOTCH2	WHSC1L1	2	CNA,MUT
ASXL1	UPF1	2	CNA,MUT
MSH3	NOTCH2	2	CNA,MUT
KDM5A	KRAS	2	CNA,MUT
FLT1	PARP1	2	CNA,MUT
TOP1	TERT	2	CNA,MUT
RASA1	SERPINB3	2	CNA,MUT
CYLD	WHSC1L1	2	CNA,MUT
ERBB2	CDK12	2	CNA,MUT
PREX2	NKX3-1	2	CNA,MUT
AURKA	PAK7	2	CNA,MUT
FAT1	MYC	2	CNA,MUT
TGFBR2	ALOX12B	2	CNA,MUT
CREBBP	TRAF7	2	CNA,MUT
FGFR1	MALT1	2	CNA,MUT
SMAD2	FOXP1	2	MUT,SV
FGFR1	PARP1	2	CNA,MUT
AURKA	TOP1	2	CNA,MUT
NCOA3	IGF1R	2	CNA,MUT
IGF1R	TOP1	2	CNA,MUT
B2M	NKX3-1	2	CNA,MUT
PTPRT	TOP1	2	CNA,MUT
PTPRT	SMARCA4	2	CNA,MUT
ASXL1	TP53BP1	2	CNA,MUT
FGFR1	LYN	2	CNA,MUT
NBN	NCOA3	2	CNA,MUT
PIK3R1	ERCC4	2	CNA,MUT
FGFR1	TOP1	2	CNA,MUT
ELF3	SMARCA4	2	CNA,MUT
PTPRT	XIAP	2	CNA,MUT
FLT3	ERCC5	2	CNA,MUT
FGFR1	ROS1	2	CNA,MUT
KDM5A	ERCC5	2	CNA,MUT
ASXL1	ARID5B	2	CNA,MUT
ASXL1	TP53	2	CNA,MUT
NBN	PTPRT	2	CNA,MUT
FGFR1	EGFR	2	CNA,MUT
ARAF	DOT1L	2	CNA,MUT
LATS2	IRS2	2	CNA,MUT
PTPRT	PLK2	2	CNA,MUT
SRC	TP53	2	CNA,MUT
SRC	APC	2	CNA,MUT
WHSC1L1	ERCC4	2	CNA,MUT
AGO2	BRCA2	2	CNA,MUT
FLT1	CCND2	2	CNA,MUT
FYN	PRDM1	2	CNA,MUT
MYC	TP53	2	CNA,MUT
AKT2	KMT2B	2	CNA,MUT
DIS3	EGFR	2	CNA,MUT
ETV1	SMAD4	2	CNA,MUT
BRCA2	CSF3R	2	CNA,MUT
SLX4	GRIN2A	2	CNA,MUT
FGFR1	CCND2	2	CNA,MUT
IRS2	BCOR	2	CNA,MUT
PTPRT	WHSC1L1	2	CNA,MUT
RB1	ZFHX3	2	CNA,MUT
TOP1	USP8	2	CNA,MUT
RECQL4	TET1	2	CNA,MUT
PTEN	KRAS	2	CNA,MUT
BRCA2	FGFR1	2	CNA,MUT
DIS3	BCOR	2	CNA,MUT
FAT1	FGFR1	2	CNA,MUT
SESN1	PRDM1	2	CNA,MUT
PTPRD	RAD52	2	CNA,MUT
FGFR1	TNFAIP3	2	CNA,MUT
FLT3	IRS2	2	CNA,MUT
ETV1	KMT2B	2	CNA,MUT
LATS2	RB1	2	CNA,MUT
FGFR1	CYLD	2	CNA,MUT
ASXL1	MYC	2	CNA,MUT
LATS2	EGFR	2	CNA,MUT
ZFHX3	KDM5A	2	CNA,MUT
FLT1	ZFHX3	2	CNA,MUT
SOX17	FLCN	2	CNA,MUT
FLT1	IRS2	2	CNA,MUT
ARID5B	TET1	2	CNA,MUT
PAK7	PLK2	2	CNA,MUT
AURKA	RET	2	CNA,MUT
INSR	ARAF	2	CNA,MUT
FGFR1	SUZ12	2	CNA,MUT
SMAD2	SMAD3	2	CNA,MUT
SMAD2	MALT1	2	CNA,MUT
DNMT3B	IGF1R	2	CNA,MUT
FAT1	MALT1	2	CNA,MUT
PREX2	MYC	2	CNA,MUT
PAK7	TOP1	2	CNA,MUT
MET	WHSC1	2	CNA,MUT
RAD21	ZFHX3	2	CNA,MUT
ASXL1	RECQL4	2	CNA,MUT
FAT1	WHSC1L1	2	CNA,MUT
AURKA	FGFR1	2	CNA,MUT
MYC	NBN	2	CNA,MUT
PGR	BIRC3	2	CNA,MUT
FGFR1	CREBBP	2	CNA,MUT
AGO2	LYN	2	CNA,MUT
DNMT3B	TP53BP1	2	CNA,MUT
DNMT3B	TET1	2	CNA,MUT
NKX3-1	DICER1	2	CNA,MUT
CCND2	PAX5	2	CNA,MUT
KRAS	RAD52	2	CNA,MUT
DNMT3B	RET	2	CNA,MUT
TGFBR2	EGFR	2	CNA,MUT
PMS1	ZRSR2	2	CNA,MUT
DROSHA	MYC	2	CNA,MUT
GRIN2A	AXIN1	2	CNA,MUT
MYC	ZFHX3	2	CNA,MUT
TOP1	VTCN1	2	CNA,MUT
SMAD2	PIK3R1	2	CNA,MUT
CDK8	FLT1	2	CNA,MUT
ARID5B	FGFR1	2	CNA,MUT
NCOA3	PALB2	2	CNA,MUT
MALT1	WHSC1L1	2	CNA,MUT
NBN	RB1	2	CNA,MUT
TSC1	SMAD4	2	CNA,MUT
DIS3	CYSLTR2	2	CNA,MUT
MALT1	SMAD4	2	CNA,MUT
FGFR1	MAP2K2	2	CNA,MUT
PRKD1	NKX2-1	2	CNA,MUT
BRCA2	CYSLTR2	2	CNA,MUT
FLT3	DIS3	2	CNA,MUT
KDM5A	RAD52	2	CNA,MUT
SOX17	TEK	2	CNA,MUT
SMAD2	NOTCH3	2	CNA,MUT
BRCA2	ERCC5	2	CNA,MUT
CYLD	ERCC4	2	CNA,MUT
PIK3C3	RASA1	2	CNA,MUT
B2M	FGFR1	2	CNA,MUT
BRCA1	RARA	2	CNA,MUT
PLK2	TOP1	2	CNA,MUT
DIS3	CCND2	2	CNA,MUT
FAT1	PRDM1	2	CNA,MUT
RARA	PRKAR1A	2	CNA,MUT
B2M	ARID5B	2	CNA,MUT
FAT1	VTCN1	2	CNA,MUT
KDM5A	MAPK3	2	CNA,MUT
NCOA3	FLCN	2	CNA,MUT
NKX3-1	ERCC4	2	CNA,MUT
PARP1	EGFR	2	CNA,MUT
FGFR1	ERCC4	2	CNA,MUT
BRCA2	LATS2	2	CNA,MUT
AURKA	PDGFRB	2	CNA,MUT
ESR1	RAD54L	2	CNA,MUT
PTPRT	USP8	2	CNA,MUT
ETV1	GRIN2A	2	CNA,MUT
BRCA2	ERBB2	2	CNA,MUT
FLT3	NOTCH1	2	CNA,MUT
KDM5A	PAX5	2	CNA,MUT
PTEN	SMAD4	2	CNA,MUT
MET	MALT1	2	CNA,MUT
DNMT3B	UPF1	2	CNA,MUT
ROS1	MALT1	2	CNA,MUT
ROS1	WHSC1L1	2	CNA,MUT
SMAD2	RASA1	2	CNA,MUT
FGFR1	DIS3	2	CNA,MUT
PREX2	PRDM14	2	CNA,MUT
NKX3-1	PIK3C3	2	CNA,MUT
FAT1	TOP1	2	CNA,MUT
ROS1	MET	2	CNA,MUT
SOX17	RECQL4	2	CNA,MUT
PAK7	PTPRT	2	CNA,MUT
PIK3C2G	KDM5A	2	CNA,MUT
AURKA	PTPRT	2	CNA,MUT
INSR	FLCN	2	CNA,MUT
PRKD1	AR	2	MUT,SV
MYC	RAD21	2	CNA,MUT
PTPRT	BCOR	2	CNA,MUT
RB1	ERCC5	2	CNA,MUT
NOTCH2	PIK3R1	2	CNA,MUT
UPF1	STAG2	2	CNA,MUT
AURKA	TP53	2	CNA,MUT
FGFR1	NCOA3	2	CNA,MUT
RARA	CDK12	2	CNA,MUT
MAP2K4	VTCN1	2	CNA,MUT
AGO2	PMS2	2	CNA,MUT
MYC	SESN1	2	CNA,MUT
PTPRT	ALOX12B	2	CNA,MUT
PAK7	DIS3	2	CNA,MUT
JAK1	KDM5A	2	CNA,MUT
NCOA3	UPF1	2	CNA,MUT
UPF1	TOP1	2	CNA,MUT
FLT3	BRCA2	2	CNA,MUT
MSH3	PIK3R1	2	CNA,MUT
ROS1	FYN	2	CNA,MUT
NCOA3	TP53BP1	2	CNA,MUT
SMAD4	RXRA	2	CNA,MUT
AURKA	IGF1R	2	CNA,MUT
SOX17	NKX3-1	2	CNA,MUT
AURKA	NCOA3	2	CNA,MUT
CCND2	FOXO1	2	CNA,MUT
TP53BP1	IGF1R	2	CNA,MUT
ASXL1	VTCN1	2	CNA,MUT
SMAD4	TRAF7	2	CNA,MUT
CCND2	MAPK3	2	CNA,MUT
SMAD2	PIK3C3	2	CNA,MUT
SMAD4	SDHA	2	CNA,MUT
AKT2	ETV1	2	CNA,MUT
RECQL4	TP53	2	CNA,MUT
AGO2	FLT3	2	CNA,MUT
JAK1	MALT1	2	CNA,MUT
NKX3-1	SLX4	2	CNA,MUT
MSH3	ERCC4	2	CNA,MUT
FGFR1	PTPRT	2	CNA,MUT
CDKN1B	CCND2	2	CNA,MUT
PTPRS	KDM5A	2	CNA,MUT
AGO2	RAD21	2	CNA,MUT
TSC2	NTHL1	2	CNA,SV
MYC	PRDM1	2	CNA,MUT
NBN	KDM5A	2	CNA,MUT
CDK8	CSF3R	2	CNA,MUT
ZFHX3	ERCC5	2	CNA,MUT
AGO2	NBN	2	CNA,MUT
BRCA2	PARP1	2	CNA,MUT
PTEN	BMPR1A	2	CNA,MUT
MYC	TOP1	2	CNA,MUT
DNMT3B	RECQL4	2	CNA,MUT
PTEN	TET1	2	CNA,MUT
NCOA3	TOP1	2	CNA,MUT
PTPRT	TP53	2	CNA,MUT
NKX3-1	MALT1	2	CNA,MUT
CARD11	CEBPA	2	CNA,MUT
KMT2B	PIK3C3	2	CNA,MUT
FLT1	DIS3	2	CNA,MUT
RB1	IRS2	2	CNA,MUT
NCOA3	ALOX12B	2	CNA,MUT
YES1	WHSC1L1	2	CNA,MUT
AKT2	CEBPA	2	CNA,MUT
WHSC1	MALT1	2	CNA,MUT
NKX3-1	PMS2	2	CNA,MUT
EGFR	PAX5	2	CNA,MUT
AURKA	PLK2	2	CNA,MUT
SMAD4	ICOSLG	2	CNA,MUT
DNMT3B	USP8	2	CNA,MUT
KDM5A	PTPRD	2	CNA,MUT
BRCA2	PRDM1	2	CNA,MUT
MET	WHSC1L1	2	CNA,MUT
ETV1	CREBBP	2	CNA,MUT
MYC	INPP4B	2	CNA,MUT
NBN	ALOX12B	2	CNA,MUT
AKT2	AXL	2	CNA,MUT
ROS1	WHSC1	2	CNA,MUT
FGFR1	ZFHX3	2	CNA,MUT
SMAD2	MET	2	CNA,MUT
NBN	NKX3-1	2	CNA,MUT
BRCA2	TNFAIP3	2	CNA,MUT
NCOA3	NKX3-1	2	CNA,MUT
CARD11	KMT2B	2	CNA,MUT
PIK3R1	WHSC1L1	2	CNA,MUT
RAD21	ROS1	2	CNA,MUT
PTEN	KDM5A	2	CNA,MUT
FLT3	RB1	2	CNA,MUT
MYC	NCOA3	2	CNA,MUT
AGO2	DNMT3B	2	CNA,MUT
SLX4	SMAD4	2	CNA,MUT
BRCA2	IRS2	2	CNA,MUT
FLT3	FGFR1	2	CNA,MUT
FAT1	SMAD2	2	CNA,MUT
DIS3	RB1	2	CNA,MUT
AURKA	VTCN1	2	CNA,MUT
SLX4	TRAF7	2	CNA,MUT
TOP1	PDGFRB	2	CNA,MUT
NCOA3	PAK7	2	CNA,MUT
LATS2	DIS3	2	CNA,MUT
JAK1	SMAD4	2	CNA,MUT
CEBPA	PIK3C2G	2	CNA,MUT
BRCA2	EGFR	2	CNA,MUT
CDK8	FGFR1	2	CNA,MUT
ARID5B	CCND1	2	CNA,MUT
PIK3C3	WHSC1	2	CNA,MUT
PTPRD	MAPK3	2	CNA,MUT
CREBBP	AXIN1	2	CNA,MUT
PMS2	CREBBP	2	CNA,MUT
FGFR1	PIK3C3	2	CNA,MUT
BRCA2	CDK8	2	CNA,MUT
SOX17	MYC	2	CNA,MUT
MYC	NOTCH3	2	CNA,MUT
ASXL1	PTPRT	2	CNA,MUT
PTEN	RAD52	2	CNA,MUT
PIK3R1	MALT1	2	CNA,MUT
DIS3	ERCC5	2	CNA,MUT
INSR	PTPRS	2	CNA,MUT
CDK8	MET	2	CNA,MUT
DNMT3B	ALOX12B	2	CNA,MUT
KDM5A	CCND2	2	CNA,MUT
CTNNB1	KRAS	2	CNA,MUT
SMAD2	KRAS	2	CNA,MUT
DIS3	RAD52	2	CNA,MUT
ASXL1	NCOA3	2	CNA,MUT
BRCA2	FOXO1	2	CNA,MUT
NKX3-1	MET	2	CNA,MUT
NCOA3	USP8	2	CNA,MUT
CYLD	PIK3R1	2	CNA,MUT
FAT1	SESN1	2	CNA,MUT
PREX2	NBN	2	CNA,MUT
ETV1	YES1	2	CNA,MUT
INSR	NOTCH2	2	CNA,MUT
NKX3-1	CREBBP	2	CNA,MUT
DNMT3B	MYC	2	CNA,MUT
SMAD4	DNAJB1	2	CNA,MUT
BRCA1	STAT3	2	CNA,MUT
FLT1	CCND1	2	CNA,MUT
RB1	CYSLTR2	2	CNA,MUT
AURKA	CSF1R	2	CNA,MUT
DIS3	FOXO1	2	CNA,MUT
SOX17	FGF4	2	CNA,MUT
PTPRS	ARAF	2	CNA,MUT
AGO2	PRDM14	2	CNA,MUT
PREX2	RAD21	2	CNA,MUT
PIK3C2G	ETV6	2	CNA,MUT
CDK8	DIS3	2	CNA,MUT
DNMT3B	NKX3-1	2	CNA,MUT
ZFHX3	IRS2	2	CNA,MUT
MYC	PRDM14	2	CNA,MUT
FGFR1	SLX4	2	CNA,MUT
NKX3-1	CYLD	2	CNA,MUT
BRCA2	RPTOR	2	CNA,MUT
RB1	FOXO1	2	CNA,MUT
NKX3-1	PTPRT	2	CNA,MUT
BRCA2	PAX5	2	CNA,MUT
PIK3R1	MAPK3	2	CNA,MUT
PAK7	EGFR	2	CNA,MUT
FLT3	FLT1	2	CNA,MUT
KDM5A	ERBB2	2	CNA,MUT
NBN	PAK7	2	CNA,MUT
FLT3	RECQL4	2	CNA,MUT
DNMT3B	PAK7	2	CNA,MUT
PARP1	PAX5	2	CNA,MUT
AURKA	MAP2K4	2	CNA,MUT
AKT2	YES1	2	CNA,MUT
PAK7	RTEL1	2	CNA,MUT
ARID5B	RECQL4	2	CNA,MUT
FLT3	NKX3-1	2	CNA,MUT
FAT1	DNMT3B	2	CNA,MUT
PTPRT	PIK3R2	2	CNA,MUT
CCND2	RAD52	2	CNA,MUT
PTEN	PIK3C2G	2	CNA,MUT
RASA1	MALT1	2	CNA,MUT
NKX3-1	ROS1	2	CNA,MUT
ARID2	WHSC1L1	2	CNA,MUT
AGO2	PTPRT	2	CNA,MUT
RAD21	CSDE1	2	MUT,SV
AGO2	TEK	2	CNA,MUT
BLM	MAP2K4	2	CNA,MUT
FGFR1	ARID2	2	CNA,MUT
DNMT3B	PTPRT	2	CNA,MUT
AGO2	MYC	2	CNA,MUT
PMS2	SMAD4	2	CNA,MUT
ARID5B	BLM	2	CNA,MUT
TET2	PIK3CB	2	CNA,MUT
CARD11	ETV1	2	CNA,MUT
CEBPA	KMT2B	2	CNA,MUT
NRAS	CSDE1	2	CNA,MUT
PMS2	ETV1	2	CNA,MUT
AGO2	CDK8	2	CNA,MUT
AKT2	GNAQ	2	CNA,MUT
FGFR1	NOTCH2	2	CNA,MUT
FLT3	FOXO1	2	CNA,MUT
MYC	INSR	2	CNA,MUT
MYC	CXCR4	2	CNA,MUT
CCND2	BCOR	2	CNA,MUT
DNMT3B	NCOA3	2	CNA,MUT
CDK8	TNFAIP3	2	CNA,MUT
DNMT3B	PDGFRB	2	CNA,MUT
MSH3	WHSC1L1	2	CNA,MUT
MYC	PHOX2B	2	CNA,MUT
NOTCH3	INSR	2	CNA,MUT
FGFR1	RB1	2	CNA,MUT
PDGFRB	CSF1R	2	CNA,MUT
SOX17	PRDM14	2	CNA,MUT
FLT1	ERCC5	2	CNA,MUT
PREX2	RECQL4	2	CNA,MUT
PTEN	ARID5B	2	CNA,MUT
FGFR1	MSH3	2	CNA,MUT
NBN	TOP1	2	CNA,MUT
LATS2	PARP1	2	CNA,MUT
DNMT3B	NBN	2	CNA,MUT
KDM5A	IRF4	2	CNA,MUT
AGO2	ASXL1	2	CNA,MUT
SOX17	NBN	2	CNA,MUT
MYC	DNAJB1	2	CNA,MUT
TEK	NF1	2	MUT,SV
RAD21	RAD52	2	CNA,MUT
SMAD2	AKT2	2	CNA,MUT
TET1	MTOR	2	MUT,SV
FGFR1	WHSC1L1	2	CNA,MUT
ARID5B	DNMT3B	2	CNA,MUT
ARAF	RBM10	2	CNA,MUT
FGFR1	PHOX2B	2	CNA,MUT
FAT1	PIK3C3	2	CNA,MUT
WHSC1	PRDM1	2	CNA,MUT
KMT2B	YES1	2	CNA,MUT
PTEN	PMS2	2	CNA,MUT
RAD21	INSR	2	CNA,MUT
H3F3C	KDM5A	2	CNA,MUT
BRD4	DNAJB1	2	CNA,MUT
DIS3	KLF5	2	CNA,MUT
IRS2	CYSLTR2	2	CNA,MUT
PIK3C3	MALT1	2	CNA,MUT
CSF3R	ERCC5	2	CNA,MUT
NCOR1	FLCN	2	CNA,MUT
MYC	NKX3-1	2	CNA,MUT
NKX3-1	INSR	2	CNA,MUT
NOTCH3	ZRSR2	2	CNA,MUT
PAK7	RB1	2	CNA,MUT
SOX17	LYN	2	CNA,MUT
FLT1	CYSLTR2	2	CNA,MUT
FLT3	CCND2	2	CNA,MUT
AGO2	RECQL4	2	CNA,MUT
CDKN1B	KDM5A	2	CNA,MUT
PTEN	EIF4A2	2	CNA,MUT
PIK3C3	SESN1	2	CNA,MUT
MYC	RARA	2	CNA,MUT
ASXL1	PLK2	2	CNA,MUT
FLT3	RPTOR	2	CNA,MUT
AURKA	MYC	2	CNA,MUT
NBN	PRDM14	2	CNA,MUT
FGFR1	ETV1	2	CNA,MUT
ASXL1	AURKA	2	CNA,MUT
MYC	MALT1	2	CNA,MUT
FAT1	NKX3-1	2	CNA,MUT
CSF3R	LATS2	2	CNA,MUT
AKT2	H3F3C	2	CNA,MUT
BRD4	CDK12	2	CNA,MUT
FGFR1	FLT1	2	CNA,MUT
FLT3	TNFAIP3	2	CNA,MUT
RAD21	IRS2	2	CNA,MUT
CDK8	RPTOR	2	CNA,MUT
JAK1	CCND2	2	CNA,MUT
TOP1	ALOX12B	2	CNA,MUT
ROS1	PRDM1	2	CNA,MUT
NKX3-1	TOP1	2	CNA,MUT
MYC	PAK7	2	CNA,MUT
PTEN	RECQL	2	CNA,MUT
NCOA3	TP53	2	CNA,MUT
FAT1	WHSC1	2	CNA,MUT
AGO2	NKX3-1	2	CNA,MUT
CCNE1	KMT2B	2	CNA,MUT
CDK8	MAPK3	2	CNA,MUT
INSR	TCF3	2	CNA,MUT
AURKA	TP53BP1	2	CNA,MUT
MYC	ROS1	2	CNA,MUT
SOX17	ZFHX3	2	CNA,MUT
SOX17	RAD21	2	CNA,MUT
PTPRT	RTEL1	2	CNA,MUT
RBM10	KDM6A	2	CNA,MUT
CDK8	LATS2	2	CNA,MUT
MYC	RICTOR	2	CNA,MUT
CDK8	FOXO1	2	CNA,MUT
SESN1	WHSC1	2	CNA,MUT
PIK3C2G	CCND2	2	CNA,MUT
FLT3	LATS2	2	CNA,MUT
PREX2	SOX17	2	CNA,MUT
CDKN1B	PIK3C2G	2	CNA,MUT
FLT1	LATS2	2	CNA,MUT
SUZ12	ERBB2	2	CNA,MUT
TEK	CDKN2A	2	CNA,MUT
NCOA3	DIS3	2	CNA,MUT
FGFR1	FYN	2	CNA,MUT
FLT3	PARP1	2	CNA,MUT
PIK3C3	WHSC1L1	2	CNA,MUT
NBN	ZFHX3	2	CNA,MUT
CDK8	PARP1	2	CNA,MUT
AGO2	FLT1	2	CNA,MUT
FGFR1	MYC	2	CNA,MUT
NF1	RNF43	2	CNA,MUT
MAP2K1	MYC	2	CNA,MUT
FYN	WHSC1L1	2	CNA,MUT
AGO2	PAK7	2	CNA,MUT
LATS2	MYC	2	CNA,MUT
FAT1	AURKA	2	CNA,MUT
ASXL1	TET1	2	CNA,MUT
AGO2	TET1	2	CNA,MUT
FLT3	CYSLTR2	2	CNA,MUT
MAP2K4	NCOR1	2	CNA,MUT
LATS2	ERCC5	2	CNA,MUT
FAT1	MET	2	CNA,MUT
FGFR1	INSR	2	CNA,MUT
ARAF	BCOR	2	CNA,MUT
NKX3-1	EGFR	2	CNA,MUT
FGFR1	LATS2	2	CNA,MUT
MYC	WHSC1	2	CNA,MUT
B2M	TP53BP1	2	CNA,MUT
MYC	RECQL4	2	CNA,MUT
NOTCH3	RICTOR	2	CNA,MUT
AGO2	SOX17	2	CNA,MUT
IRS2	FOXO1	2	CNA,MUT
AURKA	DNMT3B	2	CNA,MUT
LYN	MYC	2	CNA,MUT
NBN	RAD21	2	CNA,MUT
PAK7	IRS2	2	CNA,MUT
TEK	PAX5	2	CNA,MUT
CDK8	ERBB2	2	CNA,MUT
ASXL1	PAK7	2	CNA,MUT
CDKN1B	KRAS	2	CNA,MUT
NCOA3	PTPRT	2	CNA,MUT
AGO2	B2M	2	CNA,MUT
BLM	IGF1R	2	CNA,MUT
RAD21	WHSC1	2	CNA,MUT
NBN	CCND2	2	CNA,MUT
PREX2	CTNNB1	1	MUT
BLM	INPP4B	1	MUT
NSD1	RPS6KA4	1	MUT
EPHA3	PREX2	1	MUT
