Gene	Degree	Degree_Centrality	Betweenness_Centrality	Closeness_Centrality	Clustering_Coefficient
KRAS	32	1.0	0.8403	1.0	0.0645
KEAP1	12	0.375	0.0499	0.6154	0.2121
STK11	7	0.2188	0.0104	0.5614	0.4286
ATM	6	0.1875	0.0081	0.5517	0.4
POLE	6	0.1875	0.0076	0.5517	0.3333
GLI1	5	0.1562	0.0035	0.5424	0.4
RBM10	5	0.1562	0.0047	0.5424	0.5
CHEK2	4	0.125	0.0017	0.5333	0.6667
INHBA	4	0.125	0.0017	0.5333	0.6667
U2AF1	4	0.125	0.0014	0.5333	0.5
FLT1	4	0.125	0.0014	0.5333	0.5
AMER1	4	0.125	0.0027	0.5333	0.5
SOX17	4	0.125	0.0014	0.5333	0.5
PDCD1	3	0.0938	0.0	0.5246	1.0
STAG2	3	0.0938	0.0007	0.5246	0.6667
PALB2	3	0.0938	0.0	0.5246	1.0
REL	2	0.0625	0.0	0.5161	1.0
ETV1	2	0.0625	0.0	0.5161	1.0
TRAF7	2	0.0625	0.0	0.5161	1.0
EZH1	2	0.0625	0.0	0.5161	1.0
IDH1	2	0.0625	0.0	0.5161	1.0
ERG	1	0.0312	0.0	0.5079	0.0
CCNE1	1	0.0312	0.0	0.5079	0.0
GATA3	1	0.0312	0.0	0.5079	0.0
PRDM14	1	0.0312	0.0	0.5079	0.0
FOXA1	1	0.0312	0.0	0.5079	0.0
FOXP1	1	0.0312	0.0	0.5079	0.0
DNMT3B	1	0.0312	0.0	0.5079	0.0
HIST1H3E	1	0.0312	0.0	0.5079	0.0
NUF2	1	0.0312	0.0	0.5079	0.0
MRE11A	1	0.0312	0.0	0.5079	0.0
MAX	1	0.0312	0.0	0.5079	0.0
NKX2-1	1	0.0312	0.0	0.5079	0.0
