Gene	Total_Overlapping_Degree	Degree_MUT	Degree_CNA	Degree_SV	Participation_Coefficient	Betweenness_Centrality	Closeness_Centrality	Eigenvector_Centrality
CDKN2A	71	32	38	1	0.5102	0.0106	0.4308	0.4985
CDKN2Ap14ARF	23	2	19	2	0.3025	0.0028	0.3753	0.496
CDKN2Ap16INK4A	20	0	18	2	0.18	0.0032	0.3817	0.494
CDKN2B	19	0	19	0	0.0	0.0027	0.3674	0.4791
MTAP	12	0	12	0	0.0	0.0021	0.3365	0.139
TEK	23	10	13	0	0.4915	0.0018	0.3918	0.0646
SDHA	62	28	34	0	0.4953	0.0141	0.4474	0.0432
CARD11	56	30	25	1	0.5134	0.0132	0.4394	0.0293
IKZF1	24	12	12	0	0.5	0.0016	0.3931	0.0292
JAK2	40	23	17	0	0.4888	0.0101	0.4286	0.026
CD274	14	0	14	0	0.0	0.0011	0.3856	0.025
SMARCA4	66	47	17	2	0.4256	0.0142	0.4734	0.0248
RAC1	24	7	17	0	0.4132	0.0033	0.3767	0.0239
PDCD1LG2	18	4	14	0	0.3457	0.0016	0.396	0.0236
RTEL1	14	4	10	0	0.4082	0.0009	0.3386	0.0178
MAP2K4	19	7	12	0	0.4654	0.0016	0.358	0.015
SMAD2	16	7	9	0	0.4922	0.002	0.3814	0.0102
KDR	48	33	14	1	0.4418	0.0079	0.4515	0.0101
CREBBP	42	30	12	0	0.4082	0.009	0.4409	0.0098
FGF3	52	26	26	0	0.5	0.0069	0.4274	0.0088
DICER1	28	26	2	0	0.1327	0.0037	0.4312	0.0075
PAX5	16	11	5	0	0.4297	0.0014	0.3915	0.0071
BRCA2	30	21	9	0	0.42	0.003	0.4082	0.0071
TP53	114	100	13	1	0.2175	0.0554	0.5269	0.0069
PGR	55	44	11	0	0.32	0.0095	0.4609	0.0068
ARID1B	41	37	4	0	0.1761	0.0057	0.4499	0.0066
FLCN	15	7	8	0	0.4978	0.0019	0.3521	0.006
PTPRD	145	105	39	1	0.4032	0.0557	0.5298	0.0057
TERT	61	33	27	1	0.5112	0.0144	0.4297	0.0057
FLT3	59	45	14	0	0.362	0.0123	0.4684	0.0055
PRKCI	25	12	13	0	0.4992	0.0008	0.4134	0.0053
H3F3C	28	15	13	0	0.4974	0.0021	0.4106	0.0052
GATA1	32	15	17	0	0.498	0.0015	0.4002	0.005
SOX2	66	30	36	0	0.4959	0.0105	0.4536	0.0047
INPPL1	52	37	15	0	0.4105	0.008	0.4478	0.0045
H3-4	3	0	3	0	0.0	0.0	0.2843	0.0043
SMARCA2	8	3	5	0	0.4688	0.0001	0.3375	0.0042
KEAP1	54	43	10	1	0.3313	0.0152	0.4524	0.0042
