Gene_A	Gene_B	Edge_Multiplexity	Active_Omics
WHSC1	CRLF2	2	CNA,MUT
DNMT3B	FGF19	2	CNA,MUT
RECQL4	RAD21	2	CNA,MUT
ATRX	NKX3-1	2	CNA,MUT
AKT2	KMT2B	2	CNA,MUT
GRIN2A	TSC2	2	CNA,MUT
GATA1	RBM10	2	CNA,MUT
AMER1	AR	2	CNA,MUT
KNSTRN	SPRED1	2	CNA,MUT
CBL	NTRK1	2	CNA,MUT
FGF3	EPCAM	2	CNA,MUT
RECQL4	WHSC1	2	CNA,MUT
WHSC1L1	FGFR1	2	CNA,MUT
PDGFRA	KDR	2	CNA,MUT
CDKN2A	DICER1	2	CNA,MUT
DNMT3B	SRC	2	CNA,MUT
TERT	DROSHA	2	CNA,MUT
AMER1	EIF1AX	2	CNA,MUT
KDM6A	BCOR	2	CNA,MUT
RBM10	ATRX	2	CNA,MUT
SLX4	CREBBP	2	CNA,MUT
AURKA	RTEL1	2	CNA,MUT
TP63	CCNE1	2	CNA,MUT
EP300	NOTCH2	2	CNA,MUT
RECQL4	FGFR3	2	CNA,MUT
KNSTRN	SETD2	2	CNA,MUT
AKT2	ARAF	2	CNA,MUT
NKX2-1	PRKD1	2	CNA,MUT
RUNX1	IL7R	2	CNA,MUT
ARAF	RBM10	2	CNA,MUT
CD79A	AXL	2	CNA,MUT
PAK7	FGFR4	2	CNA,MUT
HGF	CDK6	2	CNA,MUT
EPHA7	KNSTRN	2	CNA,MUT
RECQL4	PTPRD	2	CNA,MUT
RECQL4	KDM5A	2	CNA,MUT
ZRSR2	RBM10	2	CNA,MUT
EIF4A2	CCND2	2	CNA,MUT
LATS2	GREM1	2	CNA,MUT
DIS3	ERCC5	2	CNA,MUT
BRCA2	IRF4	2	CNA,MUT
BCOR	NFE2L2	2	CNA,MUT
CDKN2A	CDKN2Ap14ARF	2	CNA,MUT
IL7R	TERT	2	CNA,MUT
BAP1	MST1R	2	CNA,MUT
KDM5C	ZRSR2	2	CNA,MUT
CDKN2A	CDKN2Ap16INK4A	2	CNA,SV
TSC2	PIK3CD	2	CNA,MUT
CD79A	PIK3C3	2	CNA,MUT
EIF1AX	BCOR	2	CNA,MUT
FAM46C	VTCN1	2	CNA,MUT
ERCC4	SPEN	2	CNA,MUT
MYC	PRDM14	2	CNA,MUT
