Gene_A	Gene_B	Edge_Multiplexity	Active_Omics
CARD11	RAC1	2	CNA,MUT
CDKN1B	PIK3C2G	2	CNA,MUT
EIF1AX	GATA1	2	CNA,MUT
TERT	TRIP13	2	CNA,MUT
CEBPA	KMT2B	2	CNA,MUT
PIK3C2G	IRS2	2	CNA,MUT
ARAF	KDM6A	2	CNA,MUT
CCND2	KDM5A	2	CNA,MUT
AXIN2	CD79B	2	CNA,MUT
NKX2-1	PRKD1	2	CNA,MUT
PARK2	RB1	2	CNA,MUT
DROSHA	TERT	2	CNA,MUT
PARP1	FH	2	CNA,MUT
CDKN2Ap14ARF	SMARCA4	2	CNA,SV
AGO2	NKX3-1	2	CNA,MUT
AGO2	RECQL4	2	CNA,MUT
WHSC1L1	NBN	2	CNA,MUT
CREBBP	SLX4	2	CNA,MUT
IL7R	TERT	2	CNA,MUT
CIC	ERF	2	CNA,MUT
EPHA7	FYN	2	CNA,MUT
CDKN2Ap16INK4A	SMARCA4	2	CNA,SV
NTRK1	SETDB1	2	CNA,MUT
ARAF	EIF1AX	2	CNA,MUT
RECQL4	PRDM14	2	CNA,MUT
GATA1	RBM10	2	CNA,MUT
PTEN	TCF7L2	2	CNA,MUT
CCND1	FGF19	2	CNA,MUT
CDK4	GLI1	2	CNA,MUT
ERCC5	IRS2	2	CNA,MUT
SMARCA4	KEAP1	2	CNA,MUT
SMARCA4	STK11	2	CNA,MUT
DROSHA	RICTOR	2	CNA,MUT
EPHA7	PRDM1	2	CNA,MUT
CDKN2Ap14ARF	CDKN2Ap16INK4A	2	CNA,SV
EIF1AX	KDM6A	2	CNA,MUT
FGF3	FGF4	2	CNA,MUT
LYN	PREX2	2	CNA,MUT
RAD21	RECQL4	2	CNA,MUT
CDKN2A	SMARCA4	2	CNA,MUT
IL7R	DROSHA	2	CNA,MUT
KIT	KDR	2	CNA,MUT
TP53	RB1	1	MUT
CTCF	SMYD3	1	MUT
ARAF	GATA1	1	CNA
MALT1	SF3B1	1	MUT
ETV6	RECQL	1	CNA
KDM5A	RAD52	1	CNA
SMARCA4	TSC2	1	MUT
CDKN1B	H3F3C	1	CNA
CDKN2Ap16INK4A	MTAP	1	CNA
CCND2	H3F3C	1	CNA
DNMT1	ESR1	1	MUT
RET	PPP2R1A	1	MUT
DIS3	MTOR	1	MUT
CIC	PIK3C3	1	MUT
MYC	WHSC1L1	1	CNA
PTPRD	FAM175A	1	MUT
TSC1	GRIN2A	1	MUT
IL7R	RICTOR	1	CNA
MLL	ZFHX3	1	MUT
MYC	RECQL4	1	CNA
FGF19	FGF3	1	CNA
CDKN2B	CDKN2A	1	CNA
NF1	PPP6C	1	MUT
ARAF	ZRSR2	1	CNA
H3F3C	RECQL	1	CNA
CDKN2B	ETV6	1	CNA
ARID1A	SOX17	1	MUT
PIK3CG	SMAD2	1	MUT
CDKN2A	MTAP	1	CNA
MCL1	SDHC	1	CNA
FLCN	RET	1	MUT
EPHA3	PTPRD	1	MUT
BRCA2	REL	1	MUT
PPM1D	NF2	1	MUT
MTOR	PGR	1	MUT
MYC	RAD21	1	CNA
